vmag,ra,de,pmRa,pmDe,sRgbR,sRgbG,sRgbB
5.42,0.7547778,55.22167,-0.025,0.002,0.8322476,0.9953098,1.547205
5.24,0.7456667,-22.00611,-0.066,0.083,0.9532177,0.9921292,1.221391
5.94,0.7491944,-42.67667,-0.086,-0.102,0.9308688,0.9934145,1.274651
6.07,0.7423056,-62.49778,0.143,-0.005,1.004415,0.9881883,1.109282
6.33,0.7775,69.325,0.196,0.001,1.302141,0.9458218,0.6506131
6.15,0.7566944,-4.629167,0.028,0.033,1.671872,0.8682461,0.3290678
6.15,0.75,-53.715,0.23,0,1.048284,0.9838315,1.02296
6.15,0.7579722,-12.88083,-0.034,-0.201,1.088691,0.9791206,0.9503851
6.52,0.7708611,55.30528,0.015,-0.012,1.302141,0.9458218,0.6506131
6.05,0.7696944,44.86139,0.028,-0.009,0.792227,0.9940051,1.678416
6.47,0.7615833,-16.42417,0.014,-0.005,0.9442073,0.9926812,1.242528
6.39,0.7784444,59.57444,-0.008,-0.001,1.354547,0.9360177,0.5931965
5.41,0.7961389,74.8475,0.015,-0.009,0.788763,0.9938273,1.690417
5.8,0.7626667,-47.55167,0.184,0.086,1.104171,0.9771553,0.9241761
5.5,0.7699444,-22.52194,0.201,-0.006,1.290627,0.9479049,0.663932
5.38,0.7758333,15.47556,-0.027,-0.044,1.690208,0.8639587,0.3174968
5.87,0.8025278,72.675,0.13,0.024,1.307917,0.9447668,0.6440313
5.5,0.78375,11.97389,0.058,-0.036,1.28489,0.9489328,0.6706696
6.13,0.7871111,19.57889,0.104,0.011,0.9264704,0.9936338,1.285468
4.06,0.7889722,24.26722,-0.1,-0.083,1.372211,0.932602,0.5749471
5.99,0.7898889,6.740833,0.014,-0.015,1.267758,0.9519608,0.6911988
6.54,0.7985556,20.92528,0.157,0.006,1.03347,0.9853959,1.051185
5.7,0.7953611,-18.06139,0.043,0.031,1.479292,0.9109711,0.4735113
3.44,0.8183333,57.81583,1.1,-0.529,1.068326,0.9815733,0.9861831
5.57,0.8003056,-21.7225,0.028,-0.011,0.7957208,0.9941736,1.666419
5.93,0.8048333,7.3,0.111,0.004,1.360425,0.934887,0.587065
5.75,0.8063889,5.280556,0.758,-1.146,1.233874,0.9577577,0.733708
4.89,0.8139167,50.96833,0.035,-0.006,0.7785514,0.9932398,1.726427
4.43,0.8113889,7.585,0.085,-0.052,1.599043,0.8849264,0.3784985
5.07,0.8163056,16.94056,-0.003,-0.204,1.038387,0.9848868,1.041715
4.53,0.8302222,41.07889,0.023,-0.019,0.765365,0.9923371,1.774358
5.59,0.8237778,-13.56139,0.105,-0.104,1.479292,0.9109711,0.4735113
5.9,0.8205278,-24.13639,0.078,-0.051,1.273455,0.9509609,0.6843027
6.27,0.81575,-46.69778,-0.008,0.017,1.24511,0.9558647,0.7193206
7,0.8313333,27.71083,0.084,-0.01,0.966908,0.9912063,1.190112
7.1,0.8314444,27.71028,0.091,-0.009,1.302141,0.9458218,0.6506131
6.28,0.8259444,-23.36167,-0.008,0,0.8674873,0.9954039,1.442151
5.39,0.8454444,64.2475,0.03,-0.012,1.028574,0.9858926,1.060716
6.15,0.8384167,45.00222,0.065,0.006,0.8209915,0.9950778,1.582768
5.19,0.8354444,-10.64444,-0.226,-0.229,1.03347,0.9853959,1.051185
5.07,0.8098333,-74.92333,0.13,-0.033,1.520997,0.9021141,0.4382997
6.07,0.8545556,61.80583,-0.002,0.006,1.832598,0.8296167,0.2380458
6.39,0.8492778,51.50806,0.135,-0.003,0.9308688,0.9934145,1.274651
6.48,0.8343611,-43.39472,0.011,0.016,0.9352911,0.9931827,1.263889
5.62,0.91475,83.70722,0.062,-0.022,0.8515572,0.9954764,1.488497
6.21,0.8593611,51.57111,-0.01,-0.019,1.302141,0.9458218,0.6506131
5.22,0.8447778,-50.98694,0.067,0.039,0.966908,0.9912063,1.190112
6.37,0.8550833,3.385,0.016,-0.067,1.342822,0.9382551,0.6056062
4.82,0.8844722,61.12417,-0.071,0.172,1.048284,0.9838315,1.02296
6.9,0.8644722,-43.70917,0.025,-0.013,0.9623215,0.9915266,1.200481
6.69,0.8815,38.54861,0.029,-0.021,0.8247156,0.9951659,1.57089
5.46,0.8779444,-24.00583,0.035,0.035,1.443694,0.9183328,0.5055358
4.77,0.8834722,-1.144167,0.008,-0.017,1.641429,0.8752886,0.3490357
6.06,0.8911667,37.41806,0.013,-0.046,1.384036,0.9302863,0.5630207
6.27,0.8965556,52.68917,0.076,-0.026,0.8921627,0.9949391,1.373863
6.46,0.8867778,-24.77694,0.098,0.037,1.004415,0.9881883,1.109282
6.22,0.8734167,-69.50444,-0.007,-0.086,1.063285,0.9821562,0.9952854
4.83,0.9166944,58.97278,-0.032,-0.043,1.42594,0.9219321,0.5222255
5.74,0.9097778,19.18833,0.018,-0.014,0.8136278,0.9948701,1.606589
6.16,0.9048889,-8.740833,0.018,-0.052,1.256405,0.9539321,0.7051516
6.27,0.9181111,48.67861,-0.022,-0.006,1.708597,0.8596255,0.3062224
5.7,0.8938611,-62.87139,0.073,0.004,1.635357,0.8766814,0.3531348
5.47,0.9161111,23.62833,0.131,-0.031,1.302141,0.9458218,0.6506131
6.2,0.92075,24.55694,0.02,-0.015,1.671872,0.8682461,0.3290678
6.21,0.9369167,57.99667,0.037,-0.014,1.520997,0.9021141,0.4382997
6.37,0.9487778,68.77611,0.137,-0.021,0.9761498,0.9905277,1.16955
6.09,0.9329167,27.20944,-0.02,0.013,0.8715355,0.9953564,1.430662
5.85,0.9284444,-7.347222,-0.007,-0.046,1.611126,0.8821995,0.369895
2.47,0.9451389,60.71667,0.026,-0.005,0.765365,0.9923371,1.774358
4.63,0.9443889,59.18111,-0.092,-0.046,1.279166,0.9499515,0.6774598
5.55,0.9464167,60.36278,0.032,-0.008,0.792227,0.9940051,1.678416
5.31,0.93375,-11.26667,-0.02,-0.008,1.611126,0.8821995,0.369895
6.1,0.9320833,-27.77556,0,0.002,1.702462,0.8610749,0.3099481
3.87,0.9458889,38.49944,0.152,0.033,0.8674873,0.9954039,1.442151
5.45,0.91675,-69.52694,0.006,-0.045,1.354547,0.9360177,0.5931965
4.42,0.9534444,23.4175,-0.044,-0.048,1.267758,0.9519608,0.6911988
6.12,0.9610278,45.83972,0.013,0.005,1.313705,0.943703,0.6375007
5.97,0.9753056,66.35222,0.043,-0.006,0.8099886,0.9947508,1.618527
5.42,0.9639444,28.99222,0.008,-0.008,1.348679,0.9371404,0.5993768
5.98,0.9706111,33.95083,0.035,-0.072,1.302141,0.9458218,0.6506131
6.32,0.9651389,13.69583,-0.011,-0.013,1.239485,0.9568162,0.7264869
6.37,0.9719167,21.40444,-0.006,-0.003,0.8515572,0.9954764,1.488497
6.39,1.008611,70.98306,0.082,0,0.8674873,0.9954039,1.442151
5.61,0.9788611,-11.38,-0.034,-0.019,1.28489,0.9489328,0.6706696
4.31,0.9767778,-29.3575,0.022,0.004,0.7621466,0.9920915,1.786308
6.23,0.9728889,-60.69639,0.05,0.018,0.8555,0.9954757,1.476855
6.84,1.000944,44.71111,0.011,-0.024,1.302141,0.9458218,0.6506131
6.04,1.001,44.71333,0.016,-0.023,0.8136278,0.9948701,1.606589
6.11,0.9971389,6.483056,0.023,-0.008,1.702462,0.8610749,0.3099481
4.25,1.14575,86.25694,0.076,-0.012,1.42594,0.9219321,0.5222255
6.46,1.564,89.01556,0.062,-0.036,0.8594694,0.9954634,1.465249
6.47,1.038444,51.035,-0.004,-0.013,1.302141,0.9458218,0.6506131
5.59,1.02175,-38.91667,0.069,0.045,1.407792,0.9255665,0.539732
6.45,1.050417,47.37611,0.088,-0.015,0.9177461,0.9940347,1.307261
5.98,1.048417,41.345,-0.02,-0.01,0.8797096,0.9952256,1.40781
5.5,1.046972,31.80444,0.015,-0.028,0.799244,0.9943325,1.65443
5.92,1.060278,61.075,-0.006,0.004,1.028574,0.9858926,1.060716
5.5,1.040667,-31.55194,0.082,0.012,0.8476411,0.9954656,1.500175
4.28,1.049056,7.89,-0.078,0.023,1.279166,0.9499515,0.6774598
6.11,1.033833,-57.0025,0.006,0.015,1.267758,0.9519608,0.6911988
5.43,1.050722,-4.836667,-0.108,-0.106,1.366313,0.9337484,0.580982
5.84,1.072111,61.58028,-0.07,-0.022,1.053264,0.9832854,1.013674
5.99,1.067333,52.50222,0.001,-0.059,1.580958,0.888976,0.3916917
5.36,1.047,-46.3975,0,0.002,1.24511,0.9558647,0.7193206
6.29,1.054889,-29.52583,-0.114,-0.03,1.262074,0.9529513,0.6981484
6.04,1.063611,1.366667,0.122,-0.042,0.9264704,0.9936338,1.285468
6.54,1.079667,51.01,0.019,-0.002,0.788763,0.9938273,1.690417
6.19,1.074333,29.65861,0.084,-0.116,0.9996489,0.9886097,1.119177
6.21,1.04525,-65.45611,0.004,0,1.68409,0.8653929,0.3213205
6.72,1.076778,39.99111,0.077,-0.022,0.9442073,0.9926812,1.242528
6.25,1.270417,87.14528,0.051,-0.027,1.372211,0.932602,0.5749471
6,1.081278,5.656389,0.028,-0.014,1.605082,0.8835657,0.3741778
5.68,1.084833,14.94611,0.006,0.054,0.9901823,0.9894148,1.139147
6.54,1.106333,62.76167,0.102,-0.024,0.8921627,0.9949391,1.373863
5.34,1.094694,21.47333,0.05,-0.016,0.8063781,0.9946213,1.630482
5.56,1.094917,21.46528,0.047,-0.018,0.792227,0.9940051,1.678416
6.29,1.153417,80.01167,-0.03,-0.038,1.302141,0.9458218,0.6506131
